19.4180361,-99.1341269
19.4102647,-99.1353394
19.3785482,-99.1533470
19.3802076,-99.1530441
19.3817707,-99.1527719
19.3844778,-99.1522754
19.3864181,-99.1519136
19.3885475,-99.1514931
19.3899886,-99.1513643
19.3955186,-99.1509630
19.3983324,-99.1507876
19.3991695,-99.1506948
19.4000924,-99.1506262
19.4020516,-99.1504717
19.4038744,-99.1502260
19.4080975,-99.1494311
19.4098835,-99.1490954
19.4111402,-99.1488829
19.4038363,-99.1486162
19.4038458,-99.1476880
19.4037759,-99.1460230
19.4037453,-99.1450324
19.4036013,-99.1427196
19.4034192,-99.1400704
19.4031338,-99.1371886
19.4028710,-99.1311321
19.4029070,-99.1305923
19.4031383,-99.1295266
19.4034861,-99.1283127
19.4038407,-99.1269369
19.4041551,-99.1255963
19.4046213,-99.1225578
19.4051140,-99.1202306
19.4053349,-99.1172975
19.4055538,-99.1141428
19.4057365,-99.1131695
19.4085083,-99.1000100
19.3818717,-99.1799689
19.3818775,-99.1789587
19.3836268,-99.1753335
19.3840632,-99.1721114
19.3838212,-99.1707696
19.3836072,-99.1696951
19.3832382,-99.1681216
19.3810982,-99.1585427
19.3810097,-99.1579618
19.3807648,-99.1564166
19.3806422,-99.1556243
19.3804429,-99.1544157
19.3799469,-99.1512829
